"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"Campbell River (CA), British Columbia","39,337","40,006","40,711","41,266","41,722","42,231","43,176","43,390","43,784","43,999"
"Powell River (CA), British Columbia","17,300","17,518","17,718","17,869","18,107","18,381","18,650","18,824","18,895","18,966"
"Williams Lake (CA), British Columbia","23,974","23,942","24,153","24,285","24,378","24,532","24,872","25,007","25,017","25,061"
"Quesnel (CA), British Columbia","23,976","24,034","24,188","24,210","24,038","24,000","23,953","24,066","24,170","24,222"
"Prince Rupert (CA), British Columbia","13,946","13,970","14,002","14,043","14,039","14,181","14,112","14,101","14,138","14,052"
"Terrace (CA), British Columbia","19,879","19,795","19,949","20,153","20,378","20,496","20,724","21,147","21,754","21,934"
"Prince George (CA), British Columbia","90,623","91,494","92,729","93,530","94,041","93,542","94,810","96,859","99,007","100,127"
"Dawson Creek (CA), British Columbia","19,650","19,468","19,328","19,203","18,893","18,724","19,096","19,615","20,179","20,264"
"Fort St. John (CA), British Columbia","29,820","29,863","30,117","30,161","30,162","30,216","30,111","30,285","30,613","30,862"
"Whitehorse (CA), Yukon","30,370","31,123","31,835","32,498","33,332","34,233","35,213","36,702","38,823","39,584"
"Yellowknife (CA), Northwest Territories","20,959","21,169","21,286","21,491","21,658","21,904","22,165","22,421","23,150","23,826"
"All areas outside census metropolitan areas and census agglomerations, Canada","5,938,517","5,966,602","6,004,589","6,044,335","6,086,415","6,149,965","6,215,365","6,272,285","6,335,847","6,379,648"
"Area outside census metropolitan areas and census agglomerations, Newfoundland and Labrador","256,635","255,003","252,910","250,894","248,879","248,066","247,361","246,662","246,280","245,615"
"Area outside census metropolitan areas and census agglomerations, Prince Edward Island","55,544","55,937","56,461","57,536","58,772","59,978","61,461","63,168","64,184","65,124"
"Area outside census metropolitan areas and census agglomerations, Nova Scotia","296,413","298,342","299,639","301,269","303,227","305,812","310,198","314,373","317,893","319,120"
